Seconds,Download(Mbps),Upload(Mbps)
1.3,1.11,0.16
2.3,8.90,1.76
3.4,9.78,2.88
4.4,12.47,0.22
5.4,9.93,2.50
6.5,7.02,2.23
7.5,9.83,0.18
8.5,10.01,3.89
9.6,13.50,0.92
10.6,9.05,4.85
11.6,12.07,0.24
12.7,11.53,0.22
13.7,13.98,0.24
14.7,13.44,0.24
15.8,10.31,0.25
16.8,11.71,0.22
17.8,11.06,0.29
18.8,10.33,0.22
19.9,12.49,0.22
20.9,12.81,0.27
21.9,11.91,0.24
23.0,12.68,0.25
24.0,9.80,0.42
25.0,14.10,0.28
26.0,13.69,0.26
27.1,12.18,0.43
28.1,10.04,0.21
29.2,9.01,0.19
30.2,10.07,0.20
31.2,10.42,0.20
32.2,10.80,0.23
33.3,4.56,0.12
34.3,6.61,0.15
35.3,12.30,0.22
36.3,7.28,0.14
37.4,7.23,0.84
38.4,7.57,0.55
39.4,9.75,0.67
40.5,12.55,0.55
41.5,15.55,0.32
42.5,17.13,0.87
43.6,16.96,0.34
44.6,13.69,0.35
45.6,16.58,0.32
46.7,13.85,0.24
47.7,14.04,0.25
48.7,14.31,0.28
49.7,12.52,0.22
50.8,13.24,0.24
51.8,9.96,0.19
52.8,10.84,0.25
53.8,12.12,0.23
54.9,12.94,0.26
55.9,10.78,0.22
56.9,12.30,0.24
57.9,11.34,0.43
59.0,12.61,0.25
60.0,11.96,0.24
61.0,11.24,0.23
62.0,14.37,0.27
63.1,12.46,0.24
64.1,11.27,0.23
65.1,14.70,0.31
66.2,12.61,0.28
67.2,14.14,0.29
68.2,13.39,0.25
69.3,13.18,0.25
70.3,10.67,0.20
71.3,10.07,0.20
72.3,14.99,0.27
73.4,15.75,0.29
74.4,14.25,0.26
75.4,11.35,0.22
76.4,8.68,0.18
77.5,10.75,0.22
78.5,12.63,0.26
79.5,12.25,0.25
80.6,14.73,0.28
81.6,12.06,0.22
82.6,11.85,0.22
83.6,13.17,0.26
84.7,13.06,0.24
85.7,11.30,0.23
86.7,11.18,1.23
87.7,12.30,0.33
88.8,12.69,0.34
89.8,11.31,1.08
90.8,13.49,0.27
91.8,14.26,0.30
92.9,4.64,1.55
93.9,13.62,0.27
94.9,8.85,1.98
96.0,10.07,0.22
97.0,5.34,1.02
98.0,6.76,0.11
99.1,10.95,1.47
100.1,12.32,0.24
101.1,10.44,1.35
102.2,12.25,0.26
103.2,10.14,1.31
104.2,11.60,0.37
105.2,12.69,0.26
106.2,14.02,0.26
107.3,12.30,0.45
108.3,10.36,0.19
109.3,12.46,0.24
110.3,15.26,0.46
111.4,15.73,0.28
